range_hint,match_id,league,kickoff,home_team,away_team,team,line,selection,model_prob,fair_odds,min_odds_for_edge,odds
D,football_data_542696,L1,2026-05-11 03:00,Monaco,Lille,Lille,-0.5,Lille AH -0.5,0.453,2.208,2.318,
D,football_data_544558,LaLiga,2026-05-09 22:15,Sevilla,Espanol,Sevilla,-0.5,Sevilla AH -0.5,0.4501,2.222,2.333,
D,football_data_538138,EPL,2026-05-10 21:00,Burnley,Aston Villa,Burnley,+1,Burnley AH +1,0.4495,2.225,2.336,
D,football_data_540699,Bundesliga,2026-05-09 21:30,Augsburg,M'gladbach,M'gladbach,0,M'gladbach AH 0,0.4436,2.254,2.367,
D,football_data_544555,LaLiga,2026-05-10 20:00,Mallorca,Villarreal,Mallorca,0,Mallorca AH 0,0.4366,2.29,2.405,
D,football_data_544555,LaLiga,2026-05-10 20:00,Mallorca,Villarreal,Villarreal,-0.5,Villarreal AH -0.5,0.4363,2.292,2.407,
D,football_data_542695,L1,2026-05-11 03:00,Auxerre,Nice,Auxerre,-0.5,Auxerre AH -0.5,0.4355,2.296,2.411,
D,football_data_542697,L1,2026-05-11 03:00,Metz,Lorient,Lorient,-1,Lorient AH -1,0.4354,2.297,2.412,
D,football_data_544553,LaLiga,2026-05-11 03:00,Barcelona,Real Madrid,Real Madrid,0,Real Madrid AH 0,0.4326,2.312,2.427,
D,football_data_544551,LaLiga,2026-05-10 22:15,Ath Bilbao,Valencia,Valencia,0,Valencia AH 0,0.4325,2.312,2.428,
D,football_data_544553,LaLiga,2026-05-11 03:00,Barcelona,Real Madrid,Barcelona,-0.5,Barcelona AH -0.5,0.4316,2.317,2.433,
D,football_data_538138,EPL,2026-05-10 21:00,Burnley,Aston Villa,Aston Villa,-1.5,Aston Villa AH -1.5,0.4288,2.332,2.449,
D,football_data_542697,L1,2026-05-11 03:00,Metz,Lorient,Metz,+0.5,Metz AH +0.5,0.4252,2.352,2.47,
C,football_data_537165,SerieA,2026-05-10 21:00,Fiorentina,Genoa,Genoa,-0.5,Genoa AH -0.5,0.4189,2.387,2.506,
C,football_data_544551,LaLiga,2026-05-10 22:15,Ath Bilbao,Valencia,Ath Bilbao,-0.5,Ath Bilbao AH -0.5,0.4108,2.435,2.556,
C,football_data_538140,EPL,2026-05-09 19:30,Liverpool,Chelsea,Chelsea,+0.5,Chelsea AH +0.5,0.4067,2.459,2.582,
C,football_data_544552,LaLiga,2026-05-10 00:30,Atletico Madrid,Celta,Celta,0,Celta AH 0,0.406,2.463,2.586,
C,football_data_542695,L1,2026-05-11 03:00,Auxerre,Nice,Nice,0,Nice AH 0,0.4034,2.479,2.603,
C,football_data_537155,SerieA,2026-05-05 02:45,Roma,Fiorentina,Roma,-1.5,Roma AH -1.5,0.4031,2.481,2.605,
C,football_data_540699,Bundesliga,2026-05-09 21:30,Augsburg,M'gladbach,Augsburg,-0.5,Augsburg AH -0.5,0.4001,2.499,2.624,
C,football_data_538144,EPL,2026-05-10 23:30,West Ham,Arsenal,Arsenal,-1.5,Arsenal AH -1.5,0.3996,2.502,2.628,
C,football_data_538129,EPL,2026-05-04 22:00,Chelsea,Nott'm Forest,Chelsea,-0.5,Chelsea AH -0.5,0.3973,2.517,2.643,
C,football_data_538143,EPL,2026-05-12 03:00,Tottenham,Leeds,Tottenham,+0.5,Tottenham AH +0.5,0.3959,2.526,2.652,
C,football_data_540702,Bundesliga,2026-05-10 23:30,FC Koln,Heidenheim,FC Koln,-1.5,FC Koln AH -1.5,0.3946,2.534,2.661,
C,football_data_542696,L1,2026-05-11 03:00,Monaco,Lille,Monaco,0,Monaco AH 0,0.3946,2.534,2.661,
